Microdados ENEM por Escolas - 2005 a 2015;Column2;Column3;Column4;Column5
;;;;
;Variável;Descrição da Variável;Categoria;Edição que contém a informação
1;NU_ANO;Ano da edição do ENEM por Escola;;
DADOS DA ESCOLA;;;;
2;CO_UF_ESCOLA;Código da Unidade da Federação da escola.;;
3;SG_UF_ESCOLA;Sigla da Unidade da Federação da escola.;;
4;CO_MUNICIPIO_ESCOLA;Código do município da escola.;"1º dígito: Região
1º e 2º dígitos: UF
3º, 4º, 5º e 6º dígitos: Município
7º dígito: dígito verificador";
5;NO_MUNICIPIO_ESCOLA;Nome do município da escola.;;
6;CO_ESCOLA_EDUCACENSO;Código da Escola. Número gerado como identificador da escola no Educacenso. ;;
7;NO_ESCOLA_EDUCACENSO;Nome da Escola no Educacenso do ano anterior.;;
8;TP_DEPENDENCIA_ADM_ESCOLA;Tipo da dependência administrativa da entidade (Escola) do Educacenso.;"1 - Federal, 
2 - Estadual,
3 - Municipal,
4 - Privada.";
9;TP_LOCALIZACAO_ESCOLA;Tipo de Localização da escola. ;"1 - Urbana,
2 - Rural.";
DADOS DA PARTICIPAÇÃO;;;;
10;NU_MATRICULAS;Número de alunos matriculados no Censo Escolar na 3ª e 4ª do Ensino Médio. ;;2005 a 2015
11;NU_PARTICIPANTES_NEC_ESP;Número de Participantes do Enem que cumprem os requisitos de participação no cálculo da média e possui necessidade especial.;;2013 a 2015
12;NU_PARTICIPANTES;Número de Participantes do Enem que cumprem os requisitos de participação no cálculo da média. ;;2005 a 2015
13;NU_TAXA_PARTICIPACAO;A taxa de participação é o número total de participantes no ENEM da escola dividido pelo número de matriculados nos anos finais do Ensino Médio da escola, informado no Censo Escolar.  2;;2009 a 2015
MÉDIAS 1;;;;
14;NU_MEDIA_CN;Média das notas de Ciências da Natureza do Ensino Médio Regular.;;2009 a 2015
15;NU_MEDIA_CH;Média das notas de Ciências Humanas do Ensino Médio Regular. ;;2009 a 2015
16;NU_MEDIA_LP;Média das notas de Linguagens e Códigos do Ensino Médio Regular. ;;2009 a 2015
17;NU_MEDIA_MT;Média das notas de Matemática do Ensino Médio Regular. ;;2009 a 2015
18;NU_MEDIA_RED;Média das notas de Redação do Ensino Médio Regular. ;;2008 a 2015
19;NU_MEDIA_OBJ;Média da prova objetiva do Ensino Médio Regular. ;;2008
20;NU_MEDIA_TOT;Média Total (Redação e Prova Objetiva) Ensino Médio Regular corrigida pelo número de participantes.;;2005 a 2007
Indicadores 3;;;;
21;INSE;Indicador de Nível Socioeconômico da escola - Para melhor descrever o nível socioeconômico das escolas, foram criados seis grupos, de forma que o Grupo 1 congrega as escolas com Inse médio mais baixo e o Grupo 6, com mais alto. (Edição 2015) 4;"Grupo 1
Grupo 2
Grupo 3
Grupo 4
Grupo 5
Grupo 6";2015
22;PC_FORMACAO_DOCENTE;Indicador de Adequação da Formação Docente da escola para lecionar no Ensino Médio.;;2013 a 2015
23;NU_TAXA_PERMANENCIA;Indicador de Permanência na Escola para o Ensino Médio;;2014 e 2015
24;NU_TAXA_APROVACAO;Taxa de aprovação dos alunos no Ensino Médio;;2005, 2007 a 2015
25;NU_TAXA_REPROVACAO;Taxa de reprovação dos alunos no Ensino Médio;;2005, 2007 a 2015
26;NU_TAXA_ABANDONO;Taxa de abandono dos alunos no Ensino Médio;;2005, 2007 a 2015
27;PORTE_ESCOLA;O indicador de porte da escola defini o tamanho da escola pelo número de alunos matriculados no último ano do Ensino médio;"De 1 a 30 alunos
De 31 a 60 alunos
De 61 a 90 alunos
Maior que 90 alunos";2005 a 2015
;;;;
Nota:;;;;
1. Até 2008 a escala das notas do Enem variavam de Zero a 100 (Cem). Nos demais anos a escala varia de zero a 1.000 (um mil).;;;;
2. Até a edição de 2008 não foi exigido taxa de participação para divulgação dos resultas. Das edições de 2009 e 2010 a taxa mínima era de apenas 2%, e a partir de 2011 a taxa mínima passou a ser 50%.;;;;
3. Informações sobre os Indicadores são apresentadas em Nota Técnica específica disponível no Portal do Inep.;;;;
4. Apenas o ano de 2015 tem o indicador INSE. Esta versão era a mais atual até o fechamento do produto. ;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
